sample	unit	platform	fq1	fq2
D2_F2_172	D2_F2_172_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_172/D2_F2_172_NKD180900418-AK9796-AK9813_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_172/D2_F2_172_NKD180900418-AK9796-AK9813_H7NHLDSXX_L1_2.fq.gz
D2_F2_173	D2_F2_173_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_173/D2_F2_173_NKD180900418-D2_F2_173_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_173/D2_F2_173_NKD180900418-D2_F2_173_H7LYHDSXX_L1_2.fq.gz
D2_F2_173	D2_F2_173_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_173/D2_F2_173_NKD180900418-AK9796-AK9814_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_173/D2_F2_173_NKD180900418-AK9796-AK9814_H7NHLDSXX_L1_2.fq.gz
D2_F2_174	D2_F2_174_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_174/D2_F2_174_NKD180900418-D2_F2_174_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_174/D2_F2_174_NKD180900418-D2_F2_174_H7LYHDSXX_L1_2.fq.gz
D2_F2_174	D2_F2_174_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_174/D2_F2_174_NKD180900418-AK9796-AK4717_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_174/D2_F2_174_NKD180900418-AK9796-AK4717_H7NHLDSXX_L1_2.fq.gz
D2_F2_175	D2_F2_175_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_175/D2_F2_175_NKD180900418-D2_F2_175_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_175/D2_F2_175_NKD180900418-D2_F2_175_H7LYHDSXX_L1_2.fq.gz
D2_F2_175	D2_F2_175_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_175/D2_F2_175_NKD180900418-AK9796-AK9815_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_175/D2_F2_175_NKD180900418-AK9796-AK9815_H7NHLDSXX_L1_2.fq.gz
D2_F2_176	D2_F2_176_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_176/D2_F2_176_NKD180900418-D2_F2_176_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_176/D2_F2_176_NKD180900418-D2_F2_176_H7LYHDSXX_L1_2.fq.gz
D2_F2_176	D2_F2_176_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_176/D2_F2_176_NKD180900418-AK9796-AK9816_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_176/D2_F2_176_NKD180900418-AK9796-AK9816_H7NHLDSXX_L1_2.fq.gz
D2_F2_177	D2_F2_177_wwa	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_177/D2_F2_177_NKD180900418-D2_F2_177_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-wwa9CZkn/D2_F2_177/D2_F2_177_NKD180900418-D2_F2_177_H7LYHDSXX_L1_2.fq.gz
